,2020->2021,2021->2022,2022->2023,2023->2024,mean_abs_diff_accum
dayofyear,80.95421245421244,81.13146286337775,193.52340425531915,277.71287128712873,158.3304877150095
temp_x_umid,2.653185555776872,2.1648968186329967,318.7570415659304,211.53146374435119,133.77664692117287
temp_x_pm10lag1,59.466267086502285,83.33321022391937,102.46467984314876,79.70464374903253,81.24220022565073
winter_x_umidade,6.087342508538164,2.791207928673238,24.082637428867773,4.6877062706270625,9.412223534176558
internacoes_respiratorias,4.71668977831381,11.15132340777502,13.589709443099277,7.829746096534198,9.321867181430576
vento_direcao,11.024056056664762,11.543485063605317,3.058109420252549,6.820505834666051,8.11153909379717
O3_Canoas,3.804525593006531,1.0953307106952295,14.400546376707855,9.630926086039342,7.232832191612239
winter_mean_year,1.59321980120664,0.4641885925714213,0.04700738817669503,20.117962584301914,5.555594591564168
month,2.6349206349206344,2.65692463564804,6.376487558600793,9.069978184259103,5.184577753357143
temp_x_vento,3.7746571848960926,2.187824322530396,8.299707627161709,4.192576851181805,4.613691496442501
SO2_Canoas,6.9302795119807135,1.393697375747486,0.8720890146407037,7.630032102579542,4.206524501237111
PM10_Canoas_roll_mean_30,3.3250029297544472,1.4295505323493831,2.438301658769106,6.967183130290099,3.540009562790759
umidade,1.4014837819185857,0.6173943796978278,4.734544723530888,4.462978270929511,2.8041002890192033
temperatura,0.36465433720868035,0.24947804251458194,5.635795598525455,4.303493345834216,2.6383553310207333
NO2_Canoas,1.8923799420884766,5.228683926671054,1.450035561250881,0.18470960384867752,2.1889522584647723
temperatura_orvalho,0.0038837571446261876,0.06318946214644505,4.241105178773104,2.9226782387155446,1.80771415919493
PM10_Canoas_roll_mean_7,1.8988347830701038,3.0619760170477015,0.7716793804171864,0.8633778621162236,1.6489670106628038
quarter,0.904151404151404,0.9170446574701892,1.9829787234042553,2.6930693069306932,1.6243110229891355
seasonal_anomaly,1.2605535407399437,2.4120304452333117,0.549329447267891,2.1874315240821023,1.6023362393308123
pm10_anomaly,1.2374320107120678,2.4946231895422692,0.4823922842509365,2.1638432511373926,1.5945726839106664
pm10_diff_3_30,2.379686355761725,1.0732590431522588,1.2868632490186613,1.302683027352228,1.5106229188212184
PM10_Canoas_lag7,1.8067655399949842,3.1098106532737617,0.46465306903238357,0.65529523931664,1.5091311254044424
PM10_Canoas_lag_7,1.8067655399949842,3.1098106532737617,0.46465306903238357,0.65529523931664,1.5091311254044424
PM10_Canoas_lag_3,1.5811967325360392,2.941581456828221,0.6090622583324858,0.6487655910783552,1.4451515096937753
PM10_Canoas_lag3,1.5811967325360392,2.941581456828221,0.6090622583324858,0.6487655910783552,1.4451515096937753
PM10_Canoas_roll_mean_3,1.7009079952783885,3.0182909699055607,0.4166252469382812,0.31984991738703883,1.3639185323773173
PM10_Canoas_lag_2,1.6530532366198756,2.9308718543775214,0.39761346462585223,0.45636249127323225,1.3594752617241204
PM10_Canoas_lag2,1.6530532366198756,2.9308718543775214,0.39761346462585223,0.45636249127323225,1.3594752617241204
PM10_Canoas_lag1,1.7301824309764093,2.94392318248563,0.29754787025937546,0.3229258423573569,1.323644831519693
PM10_Canoas_lag_1,1.7301824309764093,2.94392318248563,0.29754787025937546,0.3229258423573569,1.323644831519693
PM10_Canoas_roll_std_3,0.5271036601061434,0.6184459555238195,1.0860888547008747,2.8504451945641387,1.270520916223744
PM10_Canoas_roll_std_7,0.5991446925464423,0.1565429253536781,1.1630770455886612,2.9601387084821233,1.2197258429927262
PM10_Canoas_roll_mean_14,1.397398062059402,2.8798763299209504,0.21882490998746107,0.25061586273352887,1.1866787911753356
year,1.0,1.0,1.0,1.0,1.0
PM10_Canoas_roll_std_14,0.6748745615595491,0.22246845549185235,0.7483962726281952,2.1841438181942188,0.9574707769684538
PM10_Canoas_roll_std_30,1.5650928337901755,1.068928122724146,0.1967006612881841,0.8969467119362369,0.9319170824346856
precip_roll_sum_30,1.4916626851409456,0.040334842975916274,1.00036847646727,1.015049389979528,0.886853848640915
CO_Canoas,0.0,1.4449276909414976,0.4398919522773328,1.640999440443836,0.8814547709156666
sin_dayofyear,0.6563650533334802,0.6847289030895671,0.8935461095641917,1.1142181970484082,0.8372145657589118
cos_dayofyear,0.31886530193697116,0.28556141989475103,0.6955571946416694,0.3873713219478563,0.42183880960531195
corr_umidade_pm10,0.21116683552838145,0.08316655269223336,0.30537592016095294,0.37769350393831314,0.24435070307997023
pm10_ratio_3_30,0.349344245561501,0.05007928225061653,0.08001553514907478,0.4513883906901107,0.23270686341282576
precip_roll_sum_7,0.34456012988621676,0.0408588066266139,0.06358997475658124,0.35268969601455213,0.200424651820991
winter_intensity_index,0.008415143369453926,0.10873623454533532,0.010468571217011058,0.6496792576462402,0.19432480169451014
corr_vento_velocidade_pm10,0.07834982880637309,0.036492084729321916,0.2629459097556721,0.3806746063274744,0.1896156074047104
winter_x_vento,0.09739040146648842,0.07854797299524408,0.3727063885852045,0.08849009900990099,0.1592837155142095
is_winter,0.0677655677655678,0.043379315719741296,0.2936170212765957,0.0594059405940594,0.11604196133899106
dry_streak,0.1294261294261294,0.11575091575091578,0.1559322033898305,0.010404430273535992,0.10287841971010292
vento_velocidade,0.16238833630137983,0.09250974819198698,0.00110037152100384,0.11610513851679904,0.09302589863279243
pm10_normalized_monthly,0.05621149780463297,0.16780809988935874,0.005230810888677606,0.1395668484433612,0.09220431425650763
corr_temperatura_pm10,0.07939547555910004,0.14955627922907294,0.07671353604617026,0.025412089682060324,0.08276934512910089
dispersao_rel,0.03312199645903191,0.019943986326526997,0.07501649828835,0.06654718069654297,0.04865741544261297
dispersao_index,0.04707347490119135,0.03453988478367709,0.06346970150187908,0.048856174308845146,0.048484808873898166
focos_queimadas_frp_sum,0.0923076923076923,0.03954173486088379,0.05276595744680851,0.0,0.04615384615384615
vento_log,0.0674710330422702,0.04020053820766911,0.0065800131872724155,0.03944861734015215,0.03842505044434097
precipitacao,0.047865238626108225,0.008542863242215676,0.01426493568938575,0.08096223955483237,0.037908819278135504
weekday,0.0012210012210012167,0.03948250331229053,0.0807068157230435,0.025507635509313786,0.03672948894141226
dayofweek,0.0012210012210012167,0.03948250331229053,0.0807068157230435,0.025507635509313786,0.03672948894141226
focos_queimadas_frp_max,0.04798534798534798,0.004780609461460528,0.05276595744680851,0.0,0.026382978723404255
focos_queimadas_frp_mean,0.04615384615384615,0.00661211129296236,0.05276595744680851,0.0,0.026382978723404255
heavy_rain_event,0.004273504273504272,0.013202400436442982,0.012333213126577716,0.01711696593388151,0.01173152094260162
frota_index,0.0022085875807609234,0.007491699569274868,0.013447819454414978,0.022653445800430827,0.011450388101220399
is_weekend,0.0006105006105006083,0.007902735562310026,0.005481428056256732,0.01090787044806174,0.006225633669282277
focos_queimadas_count,0.007326007326007326,0.0030706881770711557,0.00425531914893617,0.0,0.003663003663003663
frota_centered,0.0,0.0,0.0,0.0,0.0
has_target,0.0,0.0,0.0,0.0,0.0
gap_len,0.0,0.0,0.0,0.0,0.0
is_long_gap,0.0,0.0,0.0,0.0,0.0
