MonthMean,R2_mean,R2_std,RMSE_mean,RMSE_std,Coverage_mean,Coverage_std
1.0,-4.5739238321678295,0.6025626951522106,16.630817335095802,1.213508498088016,0.0,0.0
2.0,-2.201167636978963,1.9948072741505964,17.76290395554465,10.655004440277457,0.08928571428571429,0.17857142857142858
3.0,-2.939918692639946,,5.719436456214485,,0.13636363636363635,
4.0,-2.2107903496025005,1.7442534972053407,18.108079833835685,7.253748263631201,0.013333333333333334,0.023094010767585032
5.0,-3.3076371858511875,,13.511089806593349,,0.0,
6.0,-1.2431354643996044,0.4155788879311767,15.331174284944506,4.449283076908308,0.4952709359605912,0.4574113255332174
7.0,-3.539225209209091,1.3275216041707332,25.964519166252,9.87376043391497,0.46619734397308765,0.24809294263342943
8.0,-2.238764105959415,0.49504820301557306,18.76114540230282,3.6343305391710734,0.7028250023905552,0.09384625288334024
9.0,-2.81581764139476,1.1004523008798475,11.757799252485343,1.2102815471236803,0.12549019607843137,0.10931262639032435
11.0,-1.8853615725431248,1.177542359557508,8.049079115586478,4.758646439612725,0.011904761904761904,0.020619652471058063
12.0,-2.689664315982168,0.5434590020527745,14.30365161645446,1.4587284819609119,0.04173913043478261,0.0024595018476053837
