Bootstrap,BlockSize,R2,RMSE,Coverage,MonthMean,WinterRatio
1,20,-1.4065323925946385,13.331757091045976,0.0,4.0,0.0
2,24,-1.8737961439511,25.14266805378322,0.0,2.0,0.0
3,20,-0.7462823355223045,9.836051334985918,0.9,6.05,1.0
4,24,-1.399775526977896,4.4859080795243145,0.0,10.541666666666666,0.0
5,21,-1.4541154628681445,17.004331385143516,0.0,6.333333333333333,0.0
6,15,-2.4290571997670223,11.39229202739137,0.2,9.133333333333333,0.0
7,19,-1.78189262491847,19.34924515077045,0.631578947368421,7.684210526315789,1.0
8,18,-1.146268097545427,17.022215310118142,0.0,7.0,0.0
9,19,-3.0761810094949054,27.77585224521612,0.5263157894736842,6.7368421052631575,1.0
10,14,-3.883872999037057,13.403684548662785,0.0,7.285714285714286,0.0
11,23,-1.8091972639349794,19.68230248645688,0.6086956521739131,7.739130434782608,1.0
12,29,-1.9779068449111485,19.55968892044453,0.6206896551724138,7.862068965517241,1.0
13,28,-1.809312657011081,20.105541690805662,0.0,6.25,0.0
14,17,-1.028263394880665,6.208155135622474,0.0,11.411764705882353,0.0
15,18,-1.6521227473076996,27.470013773931214,0.0,2.0,0.0
16,22,-1.8689351528370044,21.07631866614867,0.7272727272727273,8.0,1.0
17,22,-2.939918692639946,5.719436456214485,0.13636363636363635,3.090909090909091,0.0
18,23,-1.9549423925914802,12.143248350399265,0.8695652173913043,6.956521739130435,1.0
19,15,-4.147847664335659,15.772737247070262,0.0,1.0,0.0
20,25,-2.301854594226435,36.011538549669034,0.44,7.0,1.0
21,28,-1.819134143699423,23.343408517568985,0.6428571428571429,6.535714285714286,1.0
22,17,-2.216668657378701,23.389680358839758,0.6470588235294118,8.0,1.0
23,15,-4.908781730286067,14.595226218531717,0.8,7.333333333333333,1.0
24,23,-3.0739478616305584,15.335128417958979,0.043478260869565216,11.521739130434783,0.0
25,28,-4.212074453932321,14.537472904258856,0.0,3.5,0.0
26,15,-4.0255484560082895,43.16743299824996,0.3333333333333333,7.0,1.0
27,28,-3.2280457957708135,13.453174131612649,0.03571428571428571,10.928571428571429,0.0
28,27,-1.9055190067068963,18.22541865046561,0.6666666666666666,7.851851851851852,1.0
29,21,-4.057438071848427,13.108707296009317,0.0,8.857142857142858,0.0
30,28,-0.27875165665705226,4.427920818084523,0.35714285714285715,2.5,0.0
31,25,-2.305380770333777,13.27217481494994,0.04,12.0,0.0
32,22,-2.568951682777336,11.873375392043526,0.8636363636363636,7.7272727272727275,1.0
33,14,-2.808403739910661,41.79622094898201,0.42857142857142855,7.0,1.0
34,21,-2.4961035240150395,17.855192600575535,0.7619047619047619,7.904761904761905,1.0
35,21,-1.2437063167792584,18.241751488143816,0.7142857142857143,6.380952380952381,1.0
36,21,-3.3076371858511875,13.511089806593349,0.0,4.857142857142857,0.0
37,24,-2.407846778816793,12.448401563233796,0.875,7.916666666666667,1.0
38,25,-1.0137642022805426,26.455009506202227,0.04,4.28,0.0
39,29,-0.9622605498172341,11.468195525643623,0.8620689655172413,6.137931034482759,1.0
40,21,-5.0,14.011013176379656,0.0,1.8571428571428572,0.0
41,14,-5.0,23.89678623133952,0.42857142857142855,7.0,1.0
42,27,-5.0,17.48889742312134,0.0,1.4074074074074074,0.0
43,23,-3.1191759646517205,20.051952840002965,0.7391304347826086,7.260869565217392,1.0
44,20,-3.4729700570956616,20.93756944566048,0.65,8.0,1.0
45,28,-2.1204135721615383,21.97540619069178,0.6785714285714286,7.964285714285714,1.0
46,26,-4.044215010684895,34.80493846039062,0.46153846153846156,7.0,1.0
47,20,-5.0,31.251646113373635,0.55,7.0,1.0
48,17,-1.9609576525688301,10.772398434055345,0.17647058823529413,9.0,0.0
49,20,-5.0,26.184027423173305,0.35,7.0,1.0
50,26,-5.0,24.019608738101965,0.4230769230769231,6.846153846153846,1.0
