feature,mean_train,mean_test,abs_diff
temp_x_umid,1471.1560368359899,1658.1024856721358,186.94644883614592
temp_x_pm10lag1,358.42713972089825,443.51396079572754,85.08682107482929
winter_x_umidade,23.973182879274212,3.156388888888889,20.816793990385325
O3_Canoas,24.059281298658114,31.028226209094974,6.968944910436861
temp_x_vento,30.547565913560348,35.983110807905774,5.435544894345426
vento_direcao,159.53590689293196,154.7026185770751,4.833288315856862
pm10_anomaly,-0.5530316109055088,2.660060790545665,3.2130924014511737
SO2_Canoas,12.199537006755827,9.328555716758377,2.8709812899974505
temperatura,19.803233688546644,22.583613526570048,2.7803798380234035
temperatura_orvalho,14.824742596669937,17.21599319279754,2.3912505961276036
NO2_Canoas,11.249988878129384,9.035012962360174,2.2149759157692106
PM10_Canoas_roll_mean_30,17.473784171467038,19.408184974607163,1.9344008031401252
PM10_Canoas_roll_mean_14,18.23006405812682,19.79855350751143,1.5684894493846073
PM10_Canoas_lag_7,17.989533750635992,19.488640911698408,1.4991071610624154
PM10_Canoas_lag7,17.989533750635992,19.488640911698408,1.4991071610624154
umidade,75.20984589527777,73.8791128678085,1.3307330274692646
PM10_Canoas_lag1,18.199726535678636,19.51444655048472,1.3147200148060847
PM10_Canoas_lag_1,18.199726535678636,19.51444655048472,1.3147200148060847
PM10_Canoas_roll_mean_7,18.307298618499782,19.60305062571306,1.2957520072132773
PM10_Canoas_lag2,18.128055662806148,19.41976276552554,1.2917071027193927
PM10_Canoas_lag_2,18.128055662806148,19.41976276552554,1.2917071027193927
PM10_Canoas_roll_mean_3,18.219408556980092,19.48140917541089,1.2620006184307968
PM10_Canoas_lag_3,18.054812690916055,19.31175953612192,1.2569468452058636
PM10_Canoas_lag3,18.054812690916055,19.31175953612192,1.2569468452058636
PM10_Canoas_roll_std_3,5.052499184726333,6.155171103061158,1.102671918334825
pm10_diff_3_30,-0.08364832894876773,-1.0630952180565674,0.9794468891077996
internacoes_respiratorias,22.939098607842027,23.74813620071685,0.809037592874823
PM10_Canoas_roll_std_7,6.854280420128853,7.606516911847483,0.7522364917186302
PM10_Canoas_roll_std_14,7.727652293498872,8.282578734160792,0.5549264406619194
cos_dayofyear,0.04643682909828953,0.5611002092738572,0.5146633801755677
winter_x_vento,0.39407061569886204,0.059583333333333335,0.3344872823655287
pm10_normalized_monthly,0.9667048293056848,1.1605202970186868,0.19381546771300195
CO_Canoas,1.970692236738417,1.8141792108545811,0.15651302588383587
corr_temperatura_pm10,0.37392336671643106,0.520445420623362,0.1465220539069309
PM10_Canoas_roll_std_30,7.8556212955218445,8.000897620762784,0.14527632524093903
vento_velocidade,1.527413899931408,1.6030064778216953,0.07559257789028728
pm10_ratio_3_30,1.007478728630366,0.9372521080629481,0.0702266205674178
focos_queimadas_frp_sum,0.05046979865771812,0.0,0.05046979865771812
corr_umidade_pm10,-0.19668213714455332,-0.23385352581472119,0.037171388670167865
focos_queimadas_frp_max,0.03422818791946309,0.0,0.03422818791946309
vento_log,0.9088023835647414,0.9427608597505813,0.033958476185839914
focos_queimadas_frp_mean,0.03355704697986577,0.0,0.03355704697986577
corr_vento_velocidade_pm10,-0.39467750112263295,-0.42175561210560575,0.027078110982972803
focos_queimadas_count,0.004026845637583893,0.0,0.004026845637583893
