,R2,RMSE,MAE,SMAPE
0,0.9280432812875395,3.5190552234402035,2.4170327425647002,18.36012928041873
1,0.9785822490317292,2.0629989376329005,1.0778322329883212,4.518697975501434
2,0.992286921639156,0.9610747447278133,0.6087489513435052,2.200639958989431
3,0.9991059567717074,0.2572318382438514,0.18043785849316787,0.8946375831373782
4,0.2550395951021688,8.483957140162051,3.8460898044145617,22.506683903621216
Mean,0.8306116007664601,3.0568635768413643,1.6260283179608515,9.696157740333637
