,count,mean,std,min,25%,50%,75%,max
CO_Canoas,247.0,1.9246486105321352,0.29972607318836725,0.2604166666666667,1.7910416666666666,1.9016666666666664,2.020238095238095,3.18
NO2_Canoas,902.0,10.82637353691746,6.960127067574132,0.47,5.8396875,9.037083333333333,14.421666666666665,48.39958333333333
O3_Canoas,902.0,25.18387398248101,11.617139011505861,0.98,17.55645833333333,24.78458333333333,30.618229166666666,91.75083333333332
SO2_Canoas,902.0,11.717248349091111,12.778504178890396,0.65,5.6490625,8.798333333333334,13.655978260869563,212.09458333333336
PM10_Canoas,902.0,18.49124560571379,10.964981668438945,5.74375,10.477916666666667,15.873958333333334,23.426358695652176,88.27
precipitacao,902.0,0.15911983032873808,0.4267754129525418,0.0,0.0,0.0,0.0499999999999999,4.666666666666667
temperatura,902.0,20.301565808023078,4.979056595278359,6.629166666666666,16.778125000000003,21.052083333333336,24.228125000000002,30.979166666666668
temperatura_orvalho,902.0,15.2384397028708,4.413843484333179,0.8666666666666667,12.45,15.76875,18.69375,24.579166666666666
umidade,902.0,74.91285784293471,9.012406634382943,45.0,68.30208333333334,74.58333333333333,81.11458333333333,96.70833333333331
vento_direcao,902.0,158.47039423027567,47.55097758850605,79.08333333333333,119.64583333333333,148.5,186.42559523809524,306.5416666666667
vento_velocidade,902.0,1.5424265090688736,0.4936637251668158,0.6541666666666667,1.1843749999999997,1.4666666666666668,1.8114583333333332,3.6666666666666665
internacoes_respiratorias,902.0,23.03881395041288,9.103329868230292,7.67741935483871,16.129032258064516,18.5,28.677419354838708,45.833333333333336
focos_queimadas_count,902.0,0.0033259423503325942,0.07441985889048494,0.0,0.0,0.0,0.0,2.0
focos_queimadas_frp_sum,902.0,0.041685144124168516,0.9347363897333951,0.0,0.0,0.0,0.0,25.2
focos_queimadas_frp_mean,902.0,0.02771618625277162,0.5882941491557035,0.0,0.0,0.0,0.0,12.6
focos_queimadas_frp_max,902.0,0.02827050997782705,0.6002673303783961,0.0,0.0,0.0,0.0,13.1
dayofyear,902.0,195.69068736141907,115.38511831757486,1.0,74.25,218.5,296.0,366.0
month,902.0,6.925720620842572,3.7591210985434316,1.0,3.0,8.0,10.0,12.0
quarter,902.0,2.6518847006651884,1.167774758591012,1.0,1.0,3.0,4.0,4.0
dayofweek,902.0,3.007760532150776,2.0019262855288638,0.0,1.0,3.0,5.0,6.0
is_weekend,902.0,0.28713968957871394,0.45267832916912265,0.0,0.0,0.0,1.0,1.0
year,902.0,2021.4678492239468,1.2538808247338966,2020.0,2020.0,2021.0,2022.0,2024.0
sin_dayofyear,902.0,-0.1723788017476176,0.6395994143774192,-0.99999073973619,-0.7843113540767298,-0.25118773779856163,0.37571210962564194,0.99999073973619
cos_dayofyear,902.0,0.13936318438632675,0.7367709162401693,-0.9999629591162656,-0.5912614448635782,0.3496345040004907,0.8609610158889943,1.0
PM10_Canoas_lag_1,902.0,18.418370659630405,10.917144229154951,5.74375,10.460104166666667,15.807500000000001,23.2496875,88.27
PM10_Canoas_lag_2,902.0,18.350198688417677,10.862459143862349,5.74375,10.382916666666667,15.785,23.198555886243387,88.27
PM10_Canoas_lag_3,902.0,18.278552493258164,10.807770774232086,5.74375,10.31297619047619,15.749791666666667,23.188259881422923,88.27
PM10_Canoas_lag_7,902.0,18.239216088041413,10.808899652885797,5.74375,10.266676136363635,15.693958333333333,23.285625,88.27
weekday,902.0,3.007760532150776,2.0019262855288638,0.0,1.0,3.0,5.0,6.0
is_winter,902.0,0.2549889135254989,0.43609679032501675,0.0,0.0,0.0,1.0,1.0
frota_index,902.0,1.0098383669316648,0.014119620099277249,1.0,1.0,1.002208587580761,1.0097002871500358,1.0458015524048816
frota_centered,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM10_Canoas_lag1,902.0,18.418370659630405,10.917144229154951,5.74375,10.460104166666667,15.807500000000001,23.2496875,88.27
PM10_Canoas_lag2,902.0,18.350198688417677,10.862459143862349,5.74375,10.382916666666667,15.785,23.198555886243387,88.27
PM10_Canoas_lag3,902.0,18.278552493258164,10.807770774232086,5.74375,10.31297619047619,15.749791666666667,23.188259881422923,88.27
PM10_Canoas_lag7,902.0,18.239216088041413,10.808899652885797,5.74375,10.266676136363635,15.693958333333333,23.285625,88.27
PM10_Canoas_roll_mean_3,902.0,18.43537438548364,9.348310139521246,6.0,11.605694444444442,16.496180555555558,22.80721064814815,67.75505555555556
PM10_Canoas_roll_std_3,902.0,5.2291403953147775,4.553014088841712,0.0,2.058623761873895,3.9000179270842685,7.1531138215256655,28.793260869565216
PM10_Canoas_roll_mean_7,902.0,18.531050954104245,7.73962360405143,6.07875,12.867494694616976,17.775863095238094,22.43930465367965,55.06438775510204
PM10_Canoas_roll_std_7,902.0,6.96636367633535,4.708749114356523,0.1346422299739276,3.7937942926583346,5.882077197539443,8.898348847371919,26.07443545212101
PM10_Canoas_roll_mean_14,881.0,18.494051027639802,6.723604096442425,6.144970238095239,13.70599025974026,18.114219919138257,22.26358640195209,45.12608028281242
PM10_Canoas_roll_std_14,881.0,7.804254212975708,4.483424317564863,0.1848967042618984,4.9681921178134205,6.730848855251198,9.854937231306248,22.225823773309603
PM10_Canoas_roll_mean_30,748.0,17.782945966049688,6.226917958685108,7.560297895100069,12.541032404343488,18.33064922536318,20.327646028701334,36.79840617876276
PM10_Canoas_roll_std_30,748.0,7.8651793349948695,4.1113895199860115,2.189475396983602,5.386982628531001,6.7879294446051865,9.345450390145073,20.782875974118387
pm10_ratio_3_30,748.0,0.9966188094930731,0.3499857544680981,0.223818866258868,0.7362249524143947,0.950053978586545,1.2200078170721746,2.336751941104
pm10_diff_3_30,748.0,-0.23470740706292098,6.877755715181982,-25.63294320995369,-4.06217579482715,-0.6268836137990528,3.69812025667055,30.341754437564497
precip_roll_sum_7,902.0,1.0880165654423344,1.2066934608284374,0.0,0.1833333333333332,0.6999999999999998,1.4452898550724638,6.433333333333334
precip_roll_sum_30,883.0,4.4736894152017985,2.6384398433054113,0.8333333333333331,2.55,3.725,5.612500000000001,15.675
dry_streak,902.0,1.8026607538802661,2.154126106622012,0.0,0.0,1.0,3.0,11.0
heavy_rain_event,902.0,0.09977827050997783,0.29987040422076866,0.0,0.0,0.0,0.0,1.0
dispersao_index,902.0,0.3916907723428166,0.19427619856144757,0.0317916666666666,0.2422708333333334,0.3723697916666666,0.5182213541666667,1.27875
vento_log,902.0,0.915441922813304,0.18586344737039326,0.5032973573451991,0.7813294055466962,0.9028677115420144,1.0337031225404827,1.5404450409471488
dispersao_rel,902.0,0.41534010042626024,0.15964125236657734,0.0491955709852989,0.30018216080338783,0.41911645669202335,0.5303224297759614,0.8969246626727339
temp_x_pm10lag1,902.0,373.2345601788533,239.9541077662507,48.675,199.03577690972227,311.299365327381,492.45399414062496,2346.204166666666
temp_x_umid,902.0,1503.2371351842835,341.09868702870466,467.6324652777778,1284.9456597222222,1539.064236111111,1755.5210937499999,2271.1781250000004
temp_x_vento,902.0,31.562764847979356,12.639303844921976,6.110677083333333,22.07346788194445,31.143116319444445,40.84450520833334,74.57031249999999
winter_x_umidade,902.0,20.32536538624459,35.04690658605808,0.0,0.0,0.0,60.989583333333336,96.70833333333331
winter_x_vento,902.0,0.33538814711269643,0.6331730032581885,0.0,0.0,0.0,0.703125,3.579166666666667
pm10_anomaly,902.0,3.7811586825371185e-16,9.9038091673797,-24.715756104336457,-6.798341500260176,-1.7588811043364565,5.2042627827424734,62.54068220213615
pm10_normalized_monthly,902.0,1.0,0.5181832976974113,0.1953394856899817,0.6055850415783085,0.8963265389860129,1.286987464695917,4.384360985954021
winter_mean_year,817.0,24.115827042843684,1.1313713362857325,23.424119152897635,23.424119152897635,23.9048731884058,24.002631916029888,26.885632331137806
winter_intensity_index,817.0,0.7602208451998985,0.4392768172501532,0.2231675240552573,0.432424655994531,0.6480321942631329,0.9713456680334578,3.2831662247262603
seasonal_anomaly,902.0,2.5207724550247457e-16,10.857260568349322,-29.658907325203742,-7.037908361804738,-1.8702687437042238,5.345672531573939,69.06509267479625
corr_temperatura_pm10,902.0,0.39642239012329583,0.43030456141749823,-0.9507525386120383,0.10991492745290316,0.5295478618318626,0.7444388311800865,0.993584661184222
corr_umidade_pm10,902.0,-0.20449281218981907,0.4312414908801015,-0.9499218012735844,-0.5591408392156498,-0.258696800560278,0.11542723893509953,0.839273212066805
corr_vento_velocidade_pm10,902.0,-0.3921044713610322,0.3992241749234732,-0.9898055564011128,-0.6721462738037649,-0.488918279652526,-0.21496129591405236,0.8829238309042384
has_target,902.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gap_len,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_long_gap,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
