year_month,mean,std,cv
2020-01,23.343282034078452,6.939245719271579,0.29726949745717396
2020-02,27.30665981927191,15.06551065358945,0.5517156163844263
2020-03,45.28492753623188,,
2020-06,9.283043478260868,,
2020-07,33.316684027152476,20.207218320130746,0.6065194934664638
2020-08,21.022406081990127,12.354446863736381,0.5876799646792297
2020-09,12.15083756956551,5.527405014381638,0.4548990950406793
2020-10,12.404865626309174,5.505288699160196,0.44380075246314354
2020-11,10.204554402722883,3.546539151731697,0.34754473461235835
2020-12,10.09907965189986,2.9439995264435517,0.2915116652129504
2021-01,10.71986176633091,4.553192900386238,0.4247436207327756
2021-02,8.631667348955393,3.0448132952463953,0.35274914708279154
2021-03,9.948596515141396,3.818442571294172,0.38381721135063057
2021-04,15.18138878738364,7.550760029593572,0.49736951838481114
2021-05,18.233747905320485,7.342309167855968,0.4026769047143364
2021-06,14.685361616161616,8.443464749130541,0.5749579050091822
2021-07,32.06040281573349,16.057713605316565,0.5008581363624139
2021-08,23.244697622386962,12.068757324169574,0.5192047459695134
2021-09,15.46322449042186,12.629510441372389,0.8167449453505177
2021-12,18.73650691699605,6.103092480371018,0.32573267297944686
2022-01,19.8930223372659,6.504722299912828,0.3269851201909844
2022-02,18.965489510489512,4.480002836241347,0.23621867675830505
2022-06,25.337253170289856,12.423384261357395,0.49032087960998466
2022-07,26.638662315649643,9.592940867339616,0.3601134604159147
2022-08,21.10721636691142,10.771990276828163,0.510346323720583
2022-09,15.342038921826965,5.689092681632885,0.37081724995098725
2022-10,15.71799120234604,6.295744547089874,0.40054383960656387
2022-11,18.842974537037037,6.311630140828667,0.3349593307799024
2022-12,19.23936827956989,7.319941664964053,0.3804668406257929
2023-01,19.518552920509443,6.754417389515522,0.3460511348880893
2023-02,19.273903644502305,6.434281130621688,0.3338338330054382
2024-08,23.904873188405798,11.321580526935628,0.4736097296021949
2024-09,23.72427212372169,13.344308039466277,0.5624749189301121
2024-10,18.579243827160493,6.112562068560908,0.32899950748399776
2024-11,19.869970167898078,8.820837149659859,0.4439280519862482
2024-12,15.892407950472467,6.99699253866098,0.44027264845368924
